"bigram","n","start","end"
"new york",103,"new","york"
"last year",97,"last","year"
"right now",79,"right","now"
"year ago",72,"year","ago"
"high school",71,"high","school"
"look like",67,"look","like"
"feel like",65,"feel","like"
"last night",65,"last","night"
"dont know",59,"dont","know"
"last week",59,"last","week"
"first time",54,"first","time"
"can get",52,"can","get"
"year old",50,"year","old"
"make sure",49,"make","sure"
"cant wait",47,"cant","wait"
"new jersey",46,"new","jersey"
"everi day",45,"everi","day"
"can see",41,"can","see"
"even though",41,"even","though"
"one day",40,"one","day"
"look forward",38,"look","forward"
"one thing",37,"one","thing"
"unit state",36,"unit","state"
"st loui",35,"st","loui"
"im go",34,"im","go"
"let go",34,"let","go"
"next year",34,"next","year"
"dont think",33,"dont","think"
"los angel",33,"los","angel"
"two year",32,"two","year"
"just like",31,"just","like"
"sound like",31,"sound","like"
"littl bit",30,"littl","bit"
"come back",29,"come","back"
"health care",29,"health","care"
"san francisco",29,"san","francisco"
"im sure",28,"im","sure"
"long time",28,"long","time"
"new year",28,"new","year"
"u u",28,"u","u"
"get back",27,"get","back"
"go back",27,"go","back"
"dont want",26,"dont","want"
"next week",26,"next","week"
"will take",26,"will","take"
"mani peopl",25,"mani","peopl"
"seem like",25,"seem","like"
"thank follow",25,"thank","follow"
"can use",24,"can","use"
"everi time",24,"everi","time"
"real estat",24,"real","estat"
"im just",23,"im","just"
"just want",23,"just","want"
"tri get",23,"tri","get"
"want know",23,"want","know"
"will get",23,"will","get"
"just got",22,"just","got"
"just one",22,"just","one"
"school district",22,"school","district"
"two week",22,"two","week"
"weve got",22,"weve","got"
"will go",22,"will","go"
"offici said",21,"offici","said"
"three year",21,"three","year"
"week ago",21,"week","ago"
"will come",21,"will","come"
"will make",21,"will","make"
"five year",20,"five","year"
"good morn",20,"good","morn"
"just get",20,"just","get"
"month ago",20,"month","ago"
"pretti much",20,"pretti","much"
"said will",20,"said","will"
"three day",20,"three","day"
"dont forget",19,"dont","forget"
"follow back",19,"follow","back"
"good luck",19,"good","luck"
"good thing",19,"good","thing"
"happi birthday",19,"happi","birthday"
"mother day",19,"mother","day"
"one time",19,"one","time"
"park lot",19,"park","lot"
"realli want",19,"realli","want"
"social media",19,"social","media"
"thank much",19,"thank","much"
"thing like",19,"thing","like"
"will also",19,"will","also"
"everi singl",18,"everi","singl"
"four year",18,"four","year"
"get readi",18,"get","readi"
"go get",18,"go","get"
"last month",18,"last","month"
"sever year",18,"sever","year"
"th centuri",18,"th","centuri"
"time get",18,"time","get"
"tri make",18,"tri","make"
"want get",18,"want","get"
"want go",18,"want","go"
"want make",18,"want","make"
"will never",18,"will","never"
"anyon els",17,"anyon","els"
"can also",17,"can","also"
"can make",17,"can","make"
"get better",17,"get","better"
"get one",17,"get","one"
"let know",17,"let","know"
"next time",17,"next","time"
"one best",17,"one","best"
"one point",17,"one","point"
"peopl will",17,"peopl","will"
"realli like",17,"realli","like"
"spend time",17,"spend","time"
"take place",17,"take","place"
"time sinc",17,"time","sinc"
"time year",17,"time","year"
"wait see",17,"wait","see"
"ask question",16,"ask","question"
"can just",16,"can","just"
"can say",16,"can","say"
"execut director",16,"execut","director"
"good time",16,"good","time"
"ice cream",16,"ice","cream"
"love love",16,"love","love"
"mani time",16,"mani","time"
"one favorit",16,"one","favorit"
"one two",16,"one","two"
"polic offic",16,"polic","offic"
"answer question",15,"answer","question"
"can take",15,"can","take"
"first thing",15,"first","thing"
"give us",15,"give","us"
"ive got",15,"ive","got"
"know can",15,"know","can"
"last season",15,"last","season"
"look back",15,"look","back"
"next day",15,"next","day"
"one year",15,"one","year"
"past year",15,"past","year"
"polic said",15,"polic","said"
"realli good",15,"realli","good"
"recent year",15,"recent","year"
"said statement",15,"said","statement"
"saturday night",15,"saturday","night"
"someon els",15,"someon","els"
"suprem court",15,"suprem","court"
"thank rt",15,"thank","rt"
"will help",15,"will","help"
"barack obama",14,"barack","obama"
"can help",14,"can","help"
"didnt want",14,"didnt","want"
"everi year",14,"everi","year"
"famili friend",14,"famili","friend"
"join us",14,"join","us"
"last two",14,"last","two"
"last weekend",14,"last","weekend"
"let get",14,"let","get"
"need get",14,"need","get"
"now im",14,"now","im"
"one anoth",14,"one","anoth"
"put togeth",14,"put","togeth"
"read book",14,"read","book"
"said one",14,"said","one"
"take care",14,"take","care"
"along way",13,"along","way"
"blog post",13,"blog","post"
"brand new",13,"brand","new"
"can still",13,"can","still"
"cell phone",13,"cell","phone"
"dont see",13,"dont","see"
"get home",13,"get","home"
"good idea",13,"good","idea"
"good one",13,"good","one"
"hard work",13,"hard","work"
"im glad",13,"im","glad"
"im gonna",13,"im","gonna"
"im happi",13,"im","happi"
"just say",13,"just","say"
"last day",13,"last","day"
"least one",13,"least","one"
"like one",13,"like","one"
"make differ",13,"make","differ"
"make great",13,"make","great"
"move forward",13,"move","forward"
"next month",13,"next","month"
"now know",13,"now","know"
"one can",13,"one","can"
"realli need",13,"realli","need"
"realli realli",13,"realli","realli"
"san diego",13,"san","diego"
"someth els",13,"someth","els"
"stay tune",13,"stay","tune"
"take time",13,"take","time"
"tell us",13,"tell","us"
"thing can",13,"thing","can"
"will alway",13,"will","alway"
"work hard",13,"work","hard"
"year now",13,"year","now"
"back home",12,"back","home"
"best friend",12,"best","friend"
"black white",12,"black","white"
"dont care",12,"dont","care"
"felt like",12,"felt","like"
"find way",12,"find","way"
"get done",12,"get","done"
"get rid",12,"get","rid"
"give away",12,"give","away"
"go go",12,"go","go"
"go home",12,"go","home"
"health insur",12,"health","insur"
"heart diseas",12,"heart","diseas"
"im get",12,"im","get"
"im realli",12,"im","realli"
"just dont",12,"just","dont"
"just go",12,"just","go"
"just start",12,"just","start"
"know im",12,"know","im"
"like go",12,"like","go"
"live room",12,"live","room"
"make sens",12,"make","sens"
"much like",12,"much","like"
"much love",12,"much","love"
"need know",12,"need","know"
"never get",12,"never","get"
"oliv oil",12,"oliv","oil"
"peopl can",12,"peopl","can"
"peopl dont",12,"peopl","dont"
"peopl live",12,"peopl","live"
"said think",12,"said","think"
"second time",12,"second","time"
"three month",12,"three","month"
"three time",12,"three","time"
"want see",12,"want","see"
"way get",12,"way","get"
"will continu",12,"will","continu"
"will give",12,"will","give"
"will keep",12,"will","keep"
"yet anoth",12,"yet","anoth"
"york time",12,"york","time"
"across countri",11,"across","countri"
"act like",11,"act","like"
"also said",11,"also","said"
"around world",11,"around","world"
"best thing",11,"best","thing"
"can find",11,"can","find"
"can go",11,"can","go"
"cant even",11,"cant","even"
"citi council",11,"citi","council"
"come home",11,"come","home"
"coupl year",11,"coupl","year"
"day work",11,"day","work"
"dont feel",11,"dont","feel"
"dont get",11,"dont","get"
"dont realli",11,"dont","realli"
"ever seen",11,"ever","seen"
"feel good",11,"feel","good"
"first two",11,"first","two"
"fountain park",11,"fountain","park"
"go bed",11,"go","bed"
"go see",11,"go","see"
"good day",11,"good","day"
"great day",11,"great","day"
"hard time",11,"hard","time"
"help us",11,"help","us"
"illeg immigr",11,"illeg","immigr"
"ive seen",11,"ive","seen"
"just anoth",11,"just","anoth"
"just love",11,"just","love"
"just saw",11,"just","saw"
