"pentagram","n","start","end"
"arrest outstand scott counti warrant",3,"arrest outstand scott counti","warrant"
"classic pate fountain park june",3,"classic pate fountain park","june"
"lie lie lie lie lie",3,"lie lie lie lie","lie"
"pate fountain park juli u",3,"pate fountain park juli","u"
"pate fountain park june u",3,"pate fountain park june","u"
"u mid atlant travel leagu",3,"u mid atlant travel","leagu"
"anniversari osama bin laden death",2,"anniversari osama bin laden","death"
"annual bonus stock worth car",2,"annual bonus stock worth","car"
"ask three best diet pill",2,"ask three best diet","pill"
"atlant travel leagu pate fountain",2,"atlant travel leagu pate","fountain"
"bonus stock worth car allow",2,"bonus stock worth car","allow"
"brenda brenda brenda brenda brenda",2,"brenda brenda brenda brenda","brenda"
"class fall class spring class",2,"class fall class spring","class"
"congratul women work hard mother",2,"congratul women work hard","mother"
"cost m make gross m",2,"cost m make gross","m"
"counti warrant yearold shakope man",2,"counti warrant yearold shakope","man"
"eli kick g gentri pass",2,"eli kick g gentri","pass"
"fountain park juli u mid",2,"fountain park juli u","mid"
"fountain park june u u",2,"fountain park june u","u"
"fountain park sept u u",2,"fountain park sept u","u"
"g gentri pass jordan eli",2,"g gentri pass jordan","eli"
"gas emiss blame global warm",2,"gas emiss blame global","warm"
"gentri pass jordan eli kick",2,"gentri pass jordan eli","kick"
"girl yearold girl yearold boy",2,"girl yearold girl yearold","boy"
"greenhous gas emiss blame global",2,"greenhous gas emiss blame","global"
"h jpmorgan us trea plus",2,"h jpmorgan us trea","plus"
"hire produc trail light austin",2,"hire produc trail light","austin"
"jean rhys girl read jean",2,"jean rhys girl read","jean"
"juli u mid atlant travel",2,"juli u mid atlant","travel"
"june u u u u",2,"june u u u","u"
"kick g gentri pass jordan",2,"kick g gentri pass","jordan"
"l shelton yearold boy moder",2,"l shelton yearold boy","moder"
"lambiek year old girardin lambiek",2,"lambiek year old girardin","lambiek"
"larg parti eat whole menu",2,"larg parti eat whole","menu"
"m make gross m last",2,"m make gross m","last"
"make gross m last weekend",2,"make gross m last","weekend"
"mid atlant travel leagu pate",2,"mid atlant travel leagu","pate"
"mmfcl d r janus mmfcl",2,"mmfcl d r janus","mmfcl"
"oneyear anniversari osama bin laden",2,"oneyear anniversari osama bin","laden"
"outstand scott counti warrant yearold",2,"outstand scott counti warrant","yearold"
"overal hire remain strong hospit",2,"overal hire remain strong","hospit"
"park juli u mid atlant",2,"park juli u mid","atlant"
"park june u u u",2,"park june u u","u"
"park sept u u u",2,"park sept u u","u"
"pass jordan eli kick g",2,"pass jordan eli kick","g"
"pate fountain park sept u",2,"pate fountain park sept","u"
"petit howard counti circuit court",2,"petit howard counti circuit","court"
"rhys girl read jean rhys",2,"rhys girl read jean","rhys"
"roman cathol code canon law",2,"roman cathol code canon","law"
"run eli kick g gentri",2,"run eli kick g","gentri"
"runtex hire produc trail light",2,"runtex hire produc trail","light"
"scott counti warrant yearold shakope",2,"scott counti warrant yearold","shakope"
"sept u u u u",2,"sept u u u","u"
"shakope man cite disord conduct",2,"shakope man cite disord","conduct"
"shelton yearold boy moder injuri",2,"shelton yearold boy moder","injuri"
"th us circuit court appeal",2,"th us circuit court","appeal"
"three best diet pill market",2,"three best diet pill","market"
"travel leagu pate fountain park",2,"travel leagu pate fountain","park"
"u u u lehigh valley",2,"u u u lehigh","valley"
"u u u u lehigh",2,"u u u u","lehigh"
"u u u u u",2,"u u u u","u"
"yearold girl yearold boy yearold",2,"yearold girl yearold boy","yearold"
"yearold girl yearold girl yearold",2,"yearold girl yearold girl","yearold"
"yearold shakope man cite disord",2,"yearold shakope man cite","disord"
