"quadragram","n","start","end"
"u u u u",9,"u u u","u"
"classic pate fountain park",8,"classic pate fountain","park"
"lie lie lie lie",4,"lie lie lie","lie"
"arrest outstand scott counti",3,"arrest outstand scott","counti"
"averag point per game",3,"averag point per","game"
"brenda brenda brenda brenda",3,"brenda brenda brenda","brenda"
"cricket world cup dvd",3,"cricket world cup","dvd"
"follow ill follow back",3,"follow ill follow","back"
"fountain park juli u",3,"fountain park juli","u"
"fountain park june u",3,"fountain park june","u"
"jpmorgan us trea plus",3,"jpmorgan us trea","plus"
"mid atlant travel leagu",3,"mid atlant travel","leagu"
"one year left contract",3,"one year left","contract"
"outstand scott counti warrant",3,"outstand scott counti","warrant"
"pate fountain park juli",3,"pate fountain park","juli"
"pate fountain park june",3,"pate fountain park","june"
"run eli kick g",3,"run eli kick","g"
"u mid atlant travel",3,"u mid atlant","travel"
"accord fire media affair",2,"accord fire media","affair"
"activ insur compani may",2,"activ insur compani","may"
"ad job last month",2,"ad job last","month"
"afghan presid hamid karzai",2,"afghan presid hamid","karzai"
"allow five hit two",2,"allow five hit","two"
"american craft beer week",2,"american craft beer","week"
"anniversari osama bin laden",2,"anniversari osama bin","laden"
"annual bonus stock worth",2,"annual bonus stock","worth"
"ask three best diet",2,"ask three best","diet"
"atlant travel leagu pate",2,"atlant travel leagu","pate"
"bake sheet bake minut",2,"bake sheet bake","minut"
"bake sheet line parchment",2,"bake sheet line","parchment"
"basket fill bottl wine",2,"basket fill bottl","wine"
"best diet pill market",2,"best diet pill","market"
"best first quarter sinc",2,"best first quarter","sinc"
"best gift ever got",2,"best gift ever","got"
"bonus stock worth car",2,"bonus stock worth","car"
"case western reserv univers",2,"case western reserv","univers"
"cathol code canon law",2,"cathol code canon","law"
"class fall class spring",2,"class fall class","spring"
"congratul women work hard",2,"congratul women work","hard"
"convict face year prison",2,"convict face year","prison"
"cost m make gross",2,"cost m make","gross"
"counti district attorney offic",2,"counti district attorney","offic"
"counti warrant yearold shakope",2,"counti warrant yearold","shakope"
"d r janus mmfcl",2,"d r janus","mmfcl"
"didnt exist day ago",2,"didnt exist day","ago"
"director pos yr term",2,"director pos yr","term"
"disord conduct yearold shakope",2,"disord conduct yearold","shakope"
"done unto us believ",2,"done unto us","believ"
"eli kick g gentri",2,"eli kick g","gentri"
"emiss blame global warm",2,"emiss blame global","warm"
"everi cab will run",2,"everi cab will","run"
"fall class spring class",2,"fall class spring","class"
"feder health care reform",2,"feder health care","reform"
"feet inch high jump",2,"feet inch high","jump"
"first thing came mind",2,"first thing came","mind"
"first time sinc last",2,"first time sinc","last"
