"trigram","n","start","end"
"u u u",17,"u u","u"
"first time sinc",14,"first time","sinc"
"new york time",12,"new york","time"
"pate fountain park",11,"pate fountain","park"
"cant wait see",10,"cant wait","see"
"happi new year",10,"happi new","year"
"new york citi",10,"new york","citi"
"presid barack obama",9,"presid barack","obama"
"cinco de mayo",8,"cinco de","mayo"
"classic pate fountain",8,"classic pate","fountain"
"two year ago",8,"two year","ago"
"happi mother day",7,"happi mother","day"
"high school student",7,"high school","student"
"let us know",7,"let us","know"
"new york ny",7,"new york","ny"
"four year ago",6,"four year","ago"
"lie lie lie",6,"lie lie","lie"
"osama bin laden",6,"osama bin","laden"
"want make sure",6,"want make","sure"
"world war ii",6,"world war","ii"
"eli kick g",5,"eli kick","g"
"feel like your",5,"feel like","your"
"gov chris christi",5,"gov chris","christi"
"im look forward",5,"im look","forward"
"jpmorgan liquid asset",5,"jpmorgan liquid","asset"
"make feel like",5,"make feel","like"
"past two week",5,"past two","week"
"spend lot time",5,"spend lot","time"
"st loui counti",5,"st loui","counti"
"year ago said",5,"year ago","said"
"brenda brenda brenda",4,"brenda brenda","brenda"
"cant wait show",4,"cant wait","show"
"chief oper offic",4,"chief oper","offic"
"commemor th anniversari",4,"commemor th","anniversari"
"cricket world cup",4,"cricket world","cup"
"dont know can",4,"dont know","can"
"face year prison",4,"face year","prison"
"find way get",4,"find way","get"
"follow ill follow",4,"follow ill","follow"
"georg w bush",4,"georg w","bush"
"h jpmorgan us",4,"h jpmorgan","us"
"im go go",4,"im go","go"
"im pretti sure",4,"im pretti","sure"
"paintbal gun case",4,"paintbal gun","case"
"point per game",4,"point per","game"
"r h jpmorgan",4,"r h","jpmorgan"
"right around corner",4,"right around","corner"
"run eli kick",4,"run eli","kick"
"sever year ago",4,"sever year","ago"
"two year old",4,"two year","old"
"us district judg",4,"us district","judg"
"year old daughter",4,"year old","daughter"
"year old son",4,"year old","son"
"yearold girl yearold",4,"yearold girl","yearold"
"accord associ press",3,"accord associ","press"
"almost everi day",3,"almost everi","day"
"arrest outstand scott",3,"arrest outstand","scott"
"assist us attorney",3,"assist us","attorney"
"atlant travel leagu",3,"atlant travel","leagu"
"averag point per",3,"averag point","per"
"averag point rebound",3,"averag point","rebound"
"bake sheet bake",3,"bake sheet","bake"
"bin laden death",3,"bin laden","death"
"boy girl club",3,"boy girl","club"
"can honest say",3,"can honest","say"
"chief execut offic",3,"chief execut","offic"
"communic guardian angel",3,"communic guardian","angel"
"council member vote",3,"council member","vote"
"counti circuit court",3,"counti circuit","court"
"coupl year ago",3,"coupl year","ago"
"didnt want go",3,"didnt want","go"
"dont feel like",3,"dont feel","like"
"dont realli care",3,"dont realli","care"
"eat whole menu",3,"eat whole","menu"
"el camino real",3,"el camino","real"
"even though know",3,"even though","know"
"everi singl day",3,"everi singl","day"
"everi singl one",3,"everi singl","one"
"feel like im",3,"feel like","im"
"first four inning",3,"first four","inning"
"follow follow back",3,"follow follow","back"
"fountain park juli",3,"fountain park","juli"
"fountain park june",3,"fountain park","june"
"get back work",3,"get back","work"
"get first round",3,"get first","round"
"get job done",3,"get job","done"
"go right now",3,"go right","now"
"good morn twitter",3,"good morn","twitter"
"gov arnold schwarzenegg",3,"gov arnold","schwarzenegg"
"gov john kasich",3,"gov john","kasich"
"great place start",3,"great place","start"
"greenhous gas emiss",3,"greenhous gas","emiss"
"ha ha ha",3,"ha ha","ha"
"happi happi joy",3,"happi happi","joy"
"health care reform",3,"health care","reform"
"hyun suk ask",3,"hyun suk","ask"
"ill follow back",3,"ill follow","back"
"im go tri",3,"im go","tri"
"im just go",3,"im just","go"
"im just tri",3,"im just","tri"
"im sure well",3,"im sure","well"
"ive ever seen",3,"ive ever","seen"
"jpmorgan us govt",3,"jpmorgan us","govt"
"jpmorgan us trea",3,"jpmorgan us","trea"
"just dont know",3,"just dont","know"
"just one day",3,"just one","day"
"just tri get",3,"just tri","get"
"know can get",3,"know can","get"
"know im go",3,"know im","go"
"last two week",3,"last two","week"
"late last night",3,"late last","night"
"late last year",3,"late last","year"
"late th centuri",3,"late th","centuri"
"littl bit like",3,"littl bit","like"
"littl bit now",3,"littl bit","now"
"long day work",3,"long day","work"
"los angel time",3,"los angel","time"
"love spend time",3,"love spend","time"
"lower tax rate",3,"lower tax","rate"
"make sound like",3,"make sound","like"
"mani thing im",3,"mani thing","im"
"martin luther king",3,"martin luther","king"
"mid atlant travel",3,"mid atlant","travel"
"mmfservic h jpmorgan",3,"mmfservic h","jpmorgan"
"move new york",3,"move new","york"
"ncaa tournament appear",3,"ncaa tournament","appear"
"never thought id",3,"never thought","id"
"new year day",3,"new year","day"
"new york post",3,"new york","post"
"new york state",3,"new york","state"
"one first thing",3,"one first","thing"
"one year left",3,"one year","left"
"onto bake sheet",3,"onto bake","sheet"
"outstand scott counti",3,"outstand scott","counti"
"park juli u",3,"park juli","u"
"park june u",3,"park june","u"
"pdt washington ap",3,"pdt washington","ap"
"publish new york",3,"publish new","york"
"real estat invest",3,"real estat","invest"
"real estat paraleg",3,"real estat","paraleg"
"realli feel like",3,"realli feel","like"
"realli look forward",3,"realli look","forward"
"rep gabriell gifford",3,"rep gabriell","gifford"
"right now like",3,"right now","like"
"rock n roll",3,"rock n","roll"
"rock paper scissor",3,"rock paper","scissor"
"rose percent percent",3,"rose percent","percent"
"said mani peopl",3,"said mani","peopl"
"said one thing",3,"said one","thing"
"said weve got",3,"said weve","got"
"salt lake citi",3,"salt lake","citi"
"scott counti warrant",3,"scott counti","warrant"
"six year ago",3,"six year","ago"
"spent much time",3,"spent much","time"
"spoken word artist",3,"spoken word","artist"
"st patrick day",3,"st patrick","day"
"start new year",3,"start new","year"
"stop along way",3,"stop along","way"
"suprem court nomine",3,"suprem court","nomine"
"team leader han",3,"team leader","han"
"ten year ago",3,"ten year","ago"
"thank rt hope",3,"thank rt","hope"
"that go happen",3,"that go","happen"
"thing never thought",3,"thing never","thought"
"think fair say",3,"think fair","say"
"third straight year",3,"third straight","year"
"three year ago",3,"three year","ago"
"today good day",3,"today good","day"
"tweet happi birthday",3,"tweet happi","birthday"
"two week ago",3,"two week","ago"
"u mid atlant",3,"u mid","atlant"
"unit church christ",3,"unit church","christ"
"unrestrict free agent",3,"unrestrict free","agent"
"us attorney offic",3,"us attorney","offic"
"us district court",3,"us district","court"
"us trea plus",3,"us trea","plus"
"use cell phone",3,"use cell","phone"
"wall street journal",3,"wall street","journal"
"want go back",3,"want go","back"
"world cup dvd",3,"world cup","dvd"
"year ago now",3,"year ago","now"
"year left contract",3,"year left","contract"
"yearold bloomfield resid",3,"yearold bloomfield","resid"
"yearold boy wear",3,"yearold boy","wear"
"yearold shakope man",3,"yearold shakope","man"
"accord court record",2,"accord court","record"
"accord fire media",2,"accord fire","media"
"accus without proof",2,"accus without","proof"
"achiev common good",2,"achiev common","good"
"across countri help",2,"across countri","help"
"act like gentleman",2,"act like","gentleman"
"activ insur compani",2,"activ insur","compani"
"actual look like",2,"actual look","like"
"ad job last",2,"ad job","last"
"advanc past first",2,"advanc past","first"
"advers stress test",2,"advers stress","test"
"afghan presid hamid",2,"afghan presid","hamid"
"ago highest year",2,"ago highest","year"
"air forc one",2,"air forc","one"
"allow five hit",2,"allow five","hit"
"allow gay marriag",2,"allow gay","marriag"
"allow one run",2,"allow one","run"
"almost three time",2,"almost three","time"
"along way found",2,"along way","found"
"also issu statement",2,"also issu","statement"
"amazon servic llc",2,"amazon servic","llc"
"american craft beer",2,"american craft","beer"
"among thing make",2,"among thing","make"
"ancient greec rome",2,"ancient greec","rome"
"anglosaxon close relat",2,"anglosaxon close","relat"
"anniversari osama bin",2,"anniversari osama","bin"
"announc last week",2,"announc last","week"
