"words","n","start","end"
"said",1446,"said","said"
"one",1358,"one","one"
"will",1352,"will","will"
"like",1236,"like","like"
"just",1178,"just","just"
"get",1118,"get","get"
"time",1104,"time","time"
"can",1029,"can","can"
"go",1021,"go","go"
"year",998,"year","year"
"day",858,"day","day"
"make",831,"make","make"
"new",812,"new","new"
"know",725,"know","know"
"say",708,"say","say"
"love",707,"love","love"
"work",698,"work","work"
"now",696,"now","now"
"good",688,"good","good"
"im",673,"im","im"
"us",659,"us","us"
"want",658,"want","want"
"peopl",654,"peopl","peopl"
"use",633,"use","use"
"think",624,"think","think"
"also",613,"also","also"
"first",586,"first","first"
"come",579,"come","come"
"see",575,"see","see"
"look",559,"look","look"
"need",558,"need","need"
"even",544,"even","even"
"back",543,"back","back"
"last",538,"last","last"
"two",537,"two","two"
"way",535,"way","way"
"thing",533,"thing","thing"
"take",528,"take","take"
"well",528,"well","well"
"much",522,"much","much"
"dont",503,"dont","dont"
"realli",495,"realli","realli"
"got",457,"got","got"
"right",443,"right","right"
"week",442,"week","week"
"start",436,"start","start"
"great",427,"great","great"
"still",422,"still","still"
"feel",417,"feel","feel"
"mani",413,"mani","mani"
"call",412,"call","call"
"play",409,"play","play"
"game",403,"game","game"
"littl",403,"littl","littl"
"state",400,"state","state"
"thank",390,"thank","thank"
"tri",385,"tri","tri"
"made",381,"made","made"
"home",379,"home","home"
"live",378,"live","live"
"show",370,"show","show"
"school",362,"school","school"
"today",359,"today","today"
"help",347,"help","help"
"place",340,"place","place"
"may",333,"may","may"
"follow",332,"follow","follow"
"life",330,"life","life"
"night",322,"night","night"
"give",318,"give","give"
"never",313,"never","never"
"run",313,"run","run"
"around",312,"around","around"
"someth",308,"someth","someth"
"lot",307,"lot","lot"
"world",304,"world","world"
"everi",302,"everi","everi"
"anoth",301,"anoth","anoth"
"best",298,"best","best"
"book",298,"book","book"
"ask",297,"ask","ask"
"end",294,"end","end"
"includ",288,"includ","includ"
"long",287,"long","long"
"find",285,"find","find"
"that",284,"that","that"
"hope",283,"hope","hope"
"citi",281,"citi","citi"
"let",280,"let","let"
"three",279,"three","three"
"next",277,"next","next"
"sinc",276,"sinc","sinc"
"point",274,"point","point"
"put",274,"put","put"
"famili",273,"famili","famili"
"friend",273,"friend","friend"
"alway",269,"alway","alway"
"month",269,"month","month"
"read",267,"read","read"
"part",264,"part","part"
"team",261,"team","team"
"hous",260,"hous","hous"
"man",260,"man","man"
"keep",259,"keep","keep"
"person",255,"person","person"
"chang",252,"chang","chang"
"big",250,"big","big"
"compani",249,"compani","compani"
"plan",249,"plan","plan"
"second",247,"second","second"
"open",246,"open","open"
"busi",242,"busi","busi"
"cant",240,"cant","cant"
"mean",240,"mean","mean"
"though",236,"though","though"
"turn",236,"turn","turn"
"thought",235,"thought","thought"
"better",233,"better","better"
"high",231,"high","high"
"watch",230,"watch","watch"
"season",229,"season","season"
"sure",229,"sure","sure"
"million",228,"million","million"
"name",226,"name","name"
"move",225,"move","move"
